
Resultados del Modelo Logit Multinomial – Cali (con comunas)
======================================================================================================================================================================
                                                                                                             Dependent variable:                                      
                                                                        ----------------------------------------------------------------------------------------------
                                                                           Auto privado       Modo activo     Taxi / Plataforma Transporte informal Transporte público
                                                                               (1)                (2)                (3)                (4)                (5)        
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
p24                                                                     -1.164*** (0.450)   -0.732** (0.372)  -0.981*** (0.349)    0.544 (2.618)    -1.237*** (0.309) 
p28_importancia_costo_compra                                              0.256 (0.350)      0.362 (0.375)      0.337 (0.320)      0.445 (3.073)      0.507* (0.282)  
p28_importancia_costo_uso                                               -1.202*** (0.389)   -0.622* (0.357)   -0.611** (0.303)    -1.238 (2.570)     -0.788** (0.312) 
p28_importancia_comodidad                                                 0.252 (0.496)    -1.419*** (0.439)  -0.986*** (0.374)   -1.427 (3.346)    -1.420*** (0.400) 
p28_importancia_tiempo                                                   -0.845** (0.385)    0.213 (0.347)      0.021 (0.345)     -0.646 (3.317)     0.891** (0.387)  
p28_importancia_riesgo_robo                                               -0.067 (0.377)     -0.287 (0.408)     0.210 (0.325)      1.590 (2.899)      0.445 (0.327)   
p28_importancia_riesgo_acoso                                              0.607* (0.348)    0.855** (0.386)    -0.225 (0.288)     -0.809 (2.501)      -0.463 (0.304)  
p28_importancia_discriminacion                                            -0.278 (0.278)     -0.381 (0.256)     0.139 (0.237)      0.146 (2.735)      0.492* (0.251)  
p28_importancia_emisiones                                                0.915*** (0.337)    0.709* (0.380)    0.630** (0.316)     0.666 (3.073)      0.421 (0.323)   
p28_importancia_siniestralidad                                            -0.182 (0.308)     -0.093 (0.342)     0.037 (0.295)     -0.920 (2.786)      -0.347 (0.291)  
p32_contaminacion_likert                                                  0.081 (0.335)    -1.297*** (0.333)    0.003 (0.289)      0.324 (2.440)      -0.287 (0.275)  
p36_influencia_amigos                                                     0.178 (0.293)      0.227 (0.261)      0.114 (0.231)     -0.630 (1.985)      0.241 (0.210)   
p37_influencia_familia                                                    -0.095 (0.266)     0.008 (0.253)     -0.031 (0.214)      0.638 (2.305)      -0.079 (0.198)  
tiempo_total                                                              -0.015 (0.010)     -0.014 (0.009)   -0.052*** (0.012)    0.013 (0.064)     0.017*** (0.004) 
