
Resultados del Modelo Logit Multinomial – Medellín (con comunas)
=======================================================================================================================================================
                                                                                                Dependent variable:                                    
                                                            -------------------------------------------------------------------------------------------
                                                                 Auto privado           Modo activo          Taxi / Plataforma     Transporte público  
                                                                     (1)                    (2)                     (3)                    (4)         
-------------------------------------------------------------------------------------------------------------------------------------------------------
p24                                                           -25.631 (508.000)      -257.749 (647.110)    -666.320 (1,336.749)   -366.287 (1,363.571) 
p28_importancia_costo_compra                                  -31.514 (101.600)     111.887 (1,100.143)      113.141 (545.273)     187.320 (2,814.801) 
p28_importancia_costo_uso                                      40.807 (101.600)      -14.178 (890.461)      84.652 (1,091.396)     -68.196 (3,811.505) 
p28_importancia_comodidad                                     -135.014 (101.600)     -160.129 (889.561)      27.090 (801.102)     -117.915 (2,073.712) 
p28_importancia_tiempo                                        -79.441 (508.000)      -85.063 (546.160)     -216.350 (2,280.744)   -110.062 (2,680.459) 
p28_importancia_riesgo_robo                                   247.927 (508.000)      104.043 (685.946)       259.586 (778.710)     -68.109 (4,119.500) 
p28_importancia_riesgo_acoso                                  -104.400 (101.600)     -41.414 (667.054)      -78.454 (1,367.862)    64.808 (4,561.340)  
p28_importancia_discriminacion                                -113.238 (101.600)     -16.886 (294.553)      -77.634 (1,370.748)    -63.568 (3,284.828) 
p28_importancia_emisiones                                    276.356*** (101.600)    189.530 (506.869)       165.577 (525.491)     156.651 (1,024.023) 
p28_importancia_siniestralidad                                -244.762 (406.400)     -134.101 (256.354)    -103.987 (1,136.921)   -112.750 (2,885.438) 
p32_contaminacion_likert                                      130.327 (203.200)      -241.781 (398.763)      255.183 (380.773)     10.970 (2,849.231)  
p36_influencia_amigos                                         255.462 (508.000)      233.860 (604.018)      133.270 (1,792.648)    192.335 (3,906.894) 
p37_influencia_familia                                        -110.431 (508.000)    -270.008 (1,374.792)     -43.700 (175.272)    -176.496 (3,629.854) 
tiempo_total                                                  12.780 (4,571.997)      16.510 (183.017)      -6.834 (1,563.613)      25.836 (185.473)   
p1edad                                                        -4.378 (5,283.197)      -9.909 (216.981)      46.604 (1,604.851)      25.007 (177.966)   
`edad_r2_18 - 34 años`                                       252.572*** (0.00000)     81.162 (186.703)     843.064*** (308.792)     745.617 (937.377)  
`edad_r2_55 - 80 años`                                       495.044*** (0.00000)  1,259.131*** (105.255)  -976.733*** (260.637)   -61.153 (1,153.379) 
`p3_agregado_Población afrodescendiente`                           -29.169          -176.596*** (0.000)     616.437** (314.013)    593.757* (314.013)  
`p3_agregado_Sin respuesta`                                  -17.177*** (0.00000)    -446.010 (325.204)     675.303*** (5.448)     173.998 (3,372.042) 
`p3_agregado_Pueblos indígenas`                             1,278.033*** (0.00000)   502.639*** (0.000)     -896.824*** (0.000)    -325.405*** (0.000) 
p5_agregado_Secundaria                                      -494.359*** (101.600)   177.037*** (36.711)      584.422 (690.951)    -426.121 (2,552.995) 
`p5_agregado_Primaria o menos`                                     -274.995         683.608*** (53.881)     298.937** (134.522)   -372.191 (1,567.344) 
`p5_agregado_Técnico / Tecnológico`                         -336.667*** (0.00002)    44.260*** (2.787)       393.297 (308.792)    -406.582 (1,973.196) 
`p7_agregado_Trabajo doméstico no remunerado`                      343.912           187.583 (466.636)       288.144 (443.677)     287.426 (2,076.861) 
`p7_agregado_Desocupado o inactivo`                         -274.588*** (0.00000)   -390.043*** (0.000)     792.883*** (71.253)    171.553 (2,619.876) 
p7_agregado_Estudiante                                       424.805*** (0.00000)   1,687.237*** (2.806)   1,787.555*** (0.000)   1,087.488** (553.872)
p7_agregado_Otro                                             559.750*** (0.00000)   -200.616*** (0.000)     -237.344*** (0.000)    -17.520*** (0.000)  
p9_estrato3_Medio                                                  -625.728        -790.186*** (241.532)   -957.675*** (71.253)    28.557 (1,397.440)  
p9_estrato3_Bajo                                                   -658.457        -749.333*** (160.117)   -928.108*** (236.419)   13.218 (1,344.493)  
`p12_dificultad_binaria_Con alguna dificultad`                      15.015          493.569*** (0.00005)   146.650*** (0.00001)    60.899 (1,804.839)  
p40_Mujer                                                     148.094*** (0.000)     -159.602 (319.902)      684.084 (445.309)     194.705 (1,786.249) 
`p15_autos_agregado_1 auto`                                  1,018.435*** (0.000)   167.152*** (36.709)      284.649 (314.013)    -232.940 (1,195.578) 
`p15_autos_agregado_2 o más autos`                                1,764.948          111.114*** (0.000)      39.282 (674.842)      -670.116 (674.842)  
`p16_motos_agregado_Sin motocicletas`                       1,286.054*** (101.600) 1,639.952*** (383.508)    802.854 (591.375)     399.676 (1,389.637) 
`p16_motos_agregado_1 motocicleta`                            171.637*** (0.000)   1,211.194*** (327.488)   -433.507 (443.677)    -450.557 (1,304.534) 
`p22_Entre 16 y 20 km`                                       -942.788*** (0.000)    864.204*** (36.709)     -187.330 (318.420)      -51.126 (874.812)  
`p22_Entre 11 y 15 km`                                       -550.209*** (0.000)    -253.128*** (0.000)     -459.867 (308.792)     -157.473 (686.075)  
`p22_Entre 6 y 10 km`                                       -531.440*** (101.600)   467.402*** (0.00005)    -111.715 (126.651)     313.360 (2,894.223) 
`p22_Menos de 5 km`                                          -98.707*** (0.00002)  1,076.672*** (327.490)    -63.262 (444.025)     537.516 (2,821.697) 
`p23_agregado_Recreación, salud y actividades personales`    251.373** (101.600)    338.169** (158.775)     905.938** (383.915)     636.437 (409.176)  
`p23_agregado_Compras y trámites`                            -227.230*** (0.000)     -69.684*** (2.806)     -116.620 (318.420)     -1.670 (2,605.357)  
p23_agregado_Estudio                                         369.733*** (0.00002)  -337.041*** (0.00000)    -396.336*** (0.000)    163.886 (2,013.554) 
`p23_agregado_Visitas sociales`                                    185.233          -580.966* (325.204)    577.215*** (178.554)    -43.380 (2,185.797) 
`p23_agregado_Cuidado y familia (escuela, niñas/os)`              -1,141.368        -380.642*** (0.000)    -2,122.508*** (0.000)   -551.627*** (0.000) 
`p23_agregado_Cuidado y familia (recreación, niñas/os)`       -87.578*** (0.000)     76.340*** (0.000)      104.357*** (0.000)     -220.145*** (0.000) 
`p23_agregado_Cuidado y familia (salud, niñas/os)`           -168.573*** (0.000)     113.178*** (0.000)     -125.685*** (0.000)    261.880*** (0.000)  
`p23_agregado_Cuidado y familia (persona enferma)`           -150.649*** (0.000)     -38.932*** (0.000)     -234.382*** (0.000)    294.363*** (0.000)  
p23_agregado_Otro                                             422.864*** (0.000)     460.751*** (0.000)     794.439*** (0.000)    -1,155.367*** (0.000)
`p23_agregado_Cuidado y familia (persona con discapacidad)`  -138.619*** (0.000)    -176.903*** (0.000)    1,348.207*** (0.000)    -807.470*** (0.000) 
p38p38_dummy_1                                                213.218*** (0.000)     196.398 (237.659)      -507.848 (366.976)    -254.945 (1,393.063) 
`p39_lugar_agregado_mod_En otro lugar`                        389.428*** (0.000)    790.106** (369.162)   1,160.589*** (318.420)    386.697 (499.035)  
`p39_lugar_agregado_mod_En su modo de transporte`            -686.114*** (0.000)     293.853* (158.775)      753.701 (674.842)     343.231 (1,204.817) 
`p19comuna_Comuna 13 - San Javier`                            765.300*** (0.000)    -224.257*** (0.000)     -938.905*** (5.448)    656.432*** (5.448)  
`p19comuna_Comuna 15 - Guayabal`                              507.700*** (0.000)    -211.635*** (0.000)    110.369*** (0.00000)   -389.693*** (0.00004)
`p19comuna_Comuna 3 - Manrique`                              -217.459*** (0.000)    -218.147*** (0.000)    -565.911*** (0.00001)   -143.976 (865.234)  
`p19comuna_Comuna 6 - Doce de Octubre`                        -57.292*** (0.000)     -470.251 (369.148)     314.620*** (0.000)     -289.452 (415.596)  
`p19comuna_Comuna 8 - Villa Hermosa`                         -634.389*** (0.000)     -28.834*** (2.787)      13.112 (674.842)       51.071 (674.466)   
`p19comuna_Comuna 4 - Aranjuez`                               148.523*** (0.000)     151.354*** (0.000)     -297.884*** (0.000)   -207.176 (1,328.650) 
`p19comuna_Comuna 12 - La América`                           -255.880*** (0.000)    -229.400*** (0.000)     955.006*** (0.000)     229.617*** (0.000)  
`p19comuna_Comuna 1 - Popular`                               -545.785*** (0.000)    -865.906*** (0.003)     -198.920 (134.522)     -851.773 (654.920)  
`p19comuna_Comuna 5 - Castilla`                               17.947*** (0.000)      23.542*** (0.000)       54.220 (308.792)      135.484 (2,502.343) 
`p19comuna_Comuna 10 - La Candelaria`                          3.265*** (0.000)     1,474.905*** (0.000)    -584.976*** (0.000)   -112.958 (1,795.286) 
`p19comuna_Comuna 2 - Santa Cruz`                            -720.714*** (0.000)   -1,290.838*** (0.000)    -37.309*** (0.000)     -509.261*** (0.000) 
`p19comuna_Comuna 7 - Robledo`                                270.532*** (0.000)     -69.746*** (0.000)    235.683*** (0.00000)    -67.888 (1,526.187) 
`p19comuna_Comuna 9 - Buenos Aires`                          -301.837*** (0.000)     811.315* (466.636)     -175.887*** (0.000)    168.726 (2,640.685) 
`p19comuna_Comuna 11 - Laureles Estadio`                     -212.418*** (0.000)    -146.095*** (0.000)     -26.848*** (0.000)     28.623 (2,790.263)  
