
Resultados del Modelo Logit Multinomial – Medellín (sin comunas)
================================================================================================================================================
                                                                                            Dependent variable:                                 
                                                            ------------------------------------------------------------------------------------
                                                                Auto privado         Modo activo       Taxi / Plataforma    Transporte público  
                                                                    (1)                  (2)                  (3)                   (4)         
------------------------------------------------------------------------------------------------------------------------------------------------
p24                                                            -1.279 (1.943)     -31.428*** (6.422)   -33.574*** (3.122)   -29.076*** (2.671)  
p28_importancia_costo_compra                                   0.812 (4.969)        5.115 (5.417)       5.877** (2.744)       5.469** (2.558)   
p28_importancia_costo_uso                                    -9.201*** (2.126)      5.480 (5.007)       -4.830** (2.389)     -7.017*** (2.279)  
p28_importancia_comodidad                                    -6.732*** (1.605)    -27.195*** (6.458)     4.203 (4.189)      -10.876*** (3.581)  
p28_importancia_tiempo                                       -14.729*** (3.984)     5.925 (5.821)      -11.732*** (3.435)    -5.510** (2.483)   
p28_importancia_riesgo_robo                                  24.395*** (1.186)      9.678* (5.879)       3.386 (2.524)       -7.814*** (2.217)  
p28_importancia_riesgo_acoso                                 -20.748*** (7.420)   -18.914*** (5.578)   -11.817*** (3.349)     -1.587 (3.125)    
p28_importancia_discriminacion                                 1.754 (4.069)       11.501** (5.049)      -1.502 (3.111)       -1.527 (2.740)    
p28_importancia_emisiones                                    17.498*** (2.485)      6.437 (7.104)      16.708*** (3.052)     14.366*** (1.980)  
p28_importancia_siniestralidad                               -14.268*** (1.464)     5.039 (8.698)        -1.378 (3.507)       -0.710 (2.088)    
p32_contaminacion_likert                                     18.244*** (0.869)    -32.381*** (5.109)    9.424*** (3.064)      -3.281 (2.146)    
p36_influencia_amigos                                        21.101*** (6.337)      -2.689 (5.496)       5.937* (3.080)      9.608*** (3.522)   
p37_influencia_familia                                       -17.364*** (6.653)     -4.536 (6.165)     -7.977*** (2.508)    -14.938*** (2.528)  
tiempo_total                                                   0.680 (2.806)       1.714*** (0.231)     0.825*** (0.225)     2.774*** (0.148)   
p1edad                                                         -0.776 (1.530)      -1.014** (0.445)     3.963*** (0.390)     3.613*** (0.269)   
`edad_r2_18 - 34 años`                                       -3.578*** (0.605)    -25.479** (11.934)   72.630*** (6.459)     72.988*** (5.287)  
`edad_r2_55 - 80 años`                                        8.399*** (1.262)    92.272*** (10.536)   -86.862*** (9.338)   -71.672*** (6.733)  
`p3_agregado_Población afrodescendiente`                      9.910*** (0.004)    19.725*** (6.731)    45.432*** (6.994)     42.519*** (6.553)  
`p3_agregado_Sin respuesta`                                  -6.318*** (0.526)    -10.083*** (1.237)    10.868* (6.170)      17.985*** (6.688)  
`p3_agregado_Pueblos indígenas`                                   113.710         72.756*** (0.000)         -113.422         49.727*** (0.000)  
p5_agregado_Secundaria                                       -32.351*** (1.443)   27.555*** (4.914)    24.761*** (7.474)    -33.848*** (5.324)  
`p5_agregado_Primaria o menos`                               -7.174*** (0.046)    50.231*** (8.909)    39.970*** (9.958)    -28.483*** (8.788)  
`p5_agregado_Técnico / Tecnológico`                          -29.706*** (0.225)     -6.910 (8.444)     44.880*** (10.978)   -31.813*** (5.865)  
`p7_agregado_Trabajo doméstico no remunerado`                -10.368*** (0.001)     -6.770 (8.218)     70.587*** (6.391)     48.824*** (7.019)  
`p7_agregado_Desocupado o inactivo`                          32.400*** (1.254)    -23.947*** (6.168)   84.064*** (9.978)     70.869*** (9.346)  
p7_agregado_Estudiante                                      42.866*** (0.00001)   109.318*** (6.779)  201.354*** (12.431)   122.876*** (7.650)  
p7_agregado_Otro                                             59.445*** (0.000)    -61.922*** (0.000)   -27.069*** (0.000)    24.598*** (0.000)  
p9_estrato3_Medio                                            -49.063*** (1.105)  -32.115*** (11.554)   -25.365*** (8.250)    17.398** (7.120)   
p9_estrato3_Bajo                                             -44.841*** (1.101)   -55.970*** (7.395)   -49.013*** (8.935)     -4.533 (6.583)    
`p12_dificultad_binaria_Con alguna dificultad`               -30.755*** (1.594)     4.770 (7.420)       11.015* (5.807)        2.331 (5.388)    
p40_Mujer                                                    24.844*** (1.627)    -21.840* (12.209)    39.399*** (5.913)     30.833*** (7.273)  
`p13_Sí, auto`                                               101.242*** (1.252)   72.093*** (6.411)    77.731*** (6.440)     79.768*** (4.820)  
p13_No                                                       69.978*** (1.691)   -36.568*** (11.439)   -24.692*** (8.350)     -9.513 (6.716)    
`p13_Sí, motocicleta`                                        44.586*** (0.000)   -31.225*** (11.602)    -12.672 (10.112)     31.547*** (6.324)  
