ciudad,genero_2,medio,tiempo_total
Cali,Hombre,Transporte informal,106
Cali,Mujer,Transporte público,180
Cali,Mujer,Moto privada,20
Cali,Hombre,Transporte público,80
Cali,Mujer,Moto privada,60
Cali,Hombre,Transporte público,40
Cali,Mujer,Moto privada,10
Cali,Mujer,Transporte público,80
Cali,Hombre,Taxi / Plataforma,30
Cali,Hombre,Transporte informal,165
Cali,Mujer,Moto privada,40
Cali,Hombre,Auto privado,40
Cali,Hombre,Auto privado,30
Cali,Mujer,Transporte público,95
Cali,Hombre,Moto privada,60
Cali,Mujer,Transporte público,130
Cali,Mujer,Taxi / Plataforma,30
Cali,Mujer,Moto privada,50
Cali,Mujer,Transporte público,140
Cali,Mujer,Taxi / Plataforma,30
Cali,Mujer,Transporte público,138
Cali,Hombre,Transporte público,108
Cali,Mujer,Transporte público,125
Cali,Hombre,Moto privada,15
Cali,Mujer,Transporte público,81
Cali,Hombre,Transporte público,98
Cali,Hombre,Taxi / Plataforma,25
Cali,Hombre,Auto privado,25
Cali,Mujer,Moto privada,15
Cali,Hombre,Moto privada,20
Cali,Mujer,Taxi / Plataforma,30
Cali,Hombre,Auto privado,20
Cali,Hombre,Moto privada,20
Cali,Hombre,Moto privada,60
Cali,Hombre,Modo activo,60
Cali,Hombre,Auto privado,30
Cali,Hombre,Modo activo,25
Cali,Mujer,Transporte público,73
Cali,Mujer,Transporte público,203
Cali,Mujer,Auto privado,20
Cali,Mujer,Transporte informal,32
Cali,Mujer,Taxi / Plataforma,30
Cali,Mujer,Transporte público,72
Cali,Hombre,Auto privado,20
Cali,Hombre,Modo activo,5
Cali,Mujer,Transporte público,96
Cali,Mujer,Transporte público,82
Cali,Mujer,Taxi / Plataforma,8
Cali,Mujer,Moto privada,10
Cali,Mujer,Transporte público,110
Cali,Mujer,Taxi / Plataforma,7
Cali,Hombre,Moto privada,25
Cali,Mujer,Moto privada,20
Cali,Hombre,Moto privada,10
Cali,Hombre,Moto privada,30
Cali,Mujer,Transporte público,135
Cali,Mujer,Transporte público,55
Cali,Mujer,Moto privada,20
Cali,Hombre,Modo activo,30
Cali,Mujer,Moto privada,15
Cali,Mujer,Moto privada,30
Cali,Hombre,Modo activo,60
Cali,Mujer,Taxi / Plataforma,30
Cali,Hombre,Taxi / Plataforma,6
Cali,Mujer,Transporte público,41
Cali,Hombre,Transporte público,45
Cali,Hombre,Transporte público,75
Cali,Mujer,Moto privada,30
Cali,Hombre,Moto privada,20
Cali,Hombre,Moto privada,20
Cali,Hombre,Auto privado,45
Cali,Hombre,Moto privada,15
Cali,Hombre,Modo activo,10
Cali,Mujer,Transporte público,95
Cali,Mujer,Taxi / Plataforma,30
Cali,Mujer,Moto privada,10
Cali,Hombre,Transporte público,125
Cali,Hombre,Auto privado,90
Cali,Mujer,Transporte público,155
