ciudad,genero,lugar,n,denom_total,pct
Cali,Hombre,En los paraderos o estaciones,21,212,9.90566037735849
Cali,Hombre,NA,19,212,8.962264150943396
Cali,Hombre,Mientras caminaba,18,212,8.49056603773585
Cali,Hombre,"Otro, cuál?",6,212,2.830188679245283
Cali,Hombre,En uno de los alimentadores del metro,3,212,1.4150943396226414
Cali,Hombre,"En un vehículo de aplicación Uber, Cabify,",2,212,0.9433962264150944
Cali,Hombre,En un motoratón,2,212,0.9433962264150944
Cali,Hombre,En un jeep (guala),1,212,0.4716981132075472
Cali,Hombre,En un bus de transporte intermunicipal,1,212,0.4716981132075472
Cali,Hombre,En una motocicleta,1,212,0.4716981132075472
Cali,Mujer,En los paraderos o estaciones,51,221,23.076923076923077
Cali,Mujer,Mientras caminaba,27,221,12.217194570135746
Cali,Mujer,NA,25,221,11.312217194570136
Cali,Mujer,"Otro, cuál?",4,221,1.8099547511312217
Cali,Mujer,En uno de los alimentadores del metro,3,221,1.3574660633484164
Cali,Mujer,En un bus de transporte intermunicipal,1,221,0.45248868778280543
Cali,Mujer,En un taxi,1,221,0.45248868778280543
Cali,Mujer,"En un vehículo de aplicación Uber, Cabify,",1,221,0.45248868778280543
Medellín,Hombre,En el metro,20,188,10.638297872340425
Medellín,Hombre,En una buseta o colectivo,8,188,4.25531914893617
Medellín,Hombre,Mientras caminaba,7,188,3.723404255319149
Medellín,Hombre,En los paraderos o estaciones,3,188,1.5957446808510638
Medellín,Hombre,"Otro, cuál?",3,188,1.5957446808510638
Medellín,Hombre,En el tranvía,2,188,1.0638297872340425
Medellín,Hombre,En un bus de transporte intermunicipal,2,188,1.0638297872340425
Medellín,Hombre,En uno de los alimentadores del metro,1,188,0.5319148936170213
Medellín,Hombre,En un taxi,1,188,0.5319148936170213
Medellín,Hombre,En el bus del trabajo,1,188,0.5319148936170213
Medellín,Hombre,Iba en su bicicleta,1,188,0.5319148936170213
Medellín,Hombre,En un vehículo particular,1,188,0.5319148936170213
Medellín,Mujer,En el metro,30,210,14.285714285714286
Medellín,Mujer,Mientras caminaba,20,210,9.523809523809524
Medellín,Mujer,En los paraderos o estaciones,11,210,5.238095238095238
Medellín,Mujer,En una buseta o colectivo,11,210,5.238095238095238
Medellín,Mujer,"Otro, cuál?",5,210,2.380952380952381
Medellín,Mujer,En un bus de transporte intermunicipal,4,210,1.9047619047619047
Medellín,Mujer,En el bus del trabajo,4,210,1.9047619047619047
Medellín,Mujer,En el metrocable,1,210,0.47619047619047616
Medellín,Mujer,En el metroplus,1,210,0.47619047619047616
Medellín,Mujer,En uno de los alimentadores del metro,1,210,0.47619047619047616
Medellín,Mujer,"En un vehículo de aplicación Uber, Cabify,",1,210,0.47619047619047616
Medellín,Mujer,En una motocicleta,1,210,0.47619047619047616
