cuestionario;factor;campo;genero;filtro_a;p1edad;edadr;filtro_b;filtro_c;voluntad;p2;p2_1;p2_1_1;p2_2;p2_2_1;p3;p4;p5;p6;p7;p7_1;p7_2;p7_2_1;p7_2_2;p7_2_3;p7_2_4;p7_2_5;p7_2_6;p7_3;p7_3_1;p7_3_2;p7_3_3;p7_3_4;p8;p9estrato;p10;p11;p11_1;p12;p12_1;p13;p14;p15;p15_1;p16;p16_1;p17;p17_v2_1;p17_v2_2;p17_v2_3;p17_v3;p17_v3_otro;p17_v4;p17_v5;p17_v6;p17_v7;p17_v7_1;p18;p18_p1;p18_p2;p18_p3;p18_p4;p18_c1;p19_1;p19comuna;p20;p20_1;p20_1_otro;p21;p22;p23;p23_1;p23_1_1;p23_2;p23_2_1;p23_2_2;p23_2_3;p24;p25;p25_1;p26;p27;p27_1;p27_otro;p28p28_1;p28p28_2;p28p28_3;p28p28_4;p28p28_5;p28p28_6;p28p28_7;p28p28_8;p28p28_9;p29;p29_otro;p30;p30_otro;p31;p32;p33;p33_otro;p34;p34_otro;p35;p35_otro;p36;p37;p38p38_1;p38p38_2;p38p38_3;p38p38_4;p38p38_5;p38p38_6;p38p38_7;p38p38_99;p38_99_otro;p39;p39_1;p39_otro;p39_1_2;p39_1_1;p39_1_otro;p39_2;p40;p41;p47latitude;p47longitude;p47altitude;p47accuracy
1;5.013.326.201.142.850;Presencial en hogares;Femenino;Si;50;45 - 54 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;Si;Secundaria incompleta;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con su pareja, sus hijos y otros familiares;Estrato 3;Entre 300 mil y 500 mil pesos;No;;Ninguna dificultad;;Sí, auto y motocicleta;Si de auto y motocicleta;0;;3;1;Moto 2T;;125 cc;;Gasolina corriente;;2020;Medellín;Conductor;Siempre;1;40;;;;;;Medellín;Comuna 16 - Belén;Sabaneta;Comuna 14 - El Poblado;;Cuatro o más;Entre 16 y 20 km;Ir a trabajar;;;;;;;Muy satisfecho;La comodidad (confort);El costo (sus posibilidades económicas o capacidad adquisitiva);La exposición a condiciones climáticas desfavorables (lluvia o calor);Costos altos;Congestión de tráfico;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;3;Muy importante;Moto 2T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Alto;Moto 4T particular;;Metroplús;;Falta de infraestructura (andenes, ciclorutas, etc.);;Muy influyente;Muy influyente;No;No;No;No;No;No;No;No sabe;;;;;;;;No;Mujer;No;62.339.327;-756.110.528;1.593.599.976;13.626
2;3.907.243.986;Presencial en hogares;Femenino;Si;23;18 - 24 años;No;Si;Si;No;;;Venezuela;;Ninguna de las anteriores;No;Universitario;No;Trabajar;Empleado en empresa, gobierno u organización;De lunes a viernes;;;;;;;;;;;;Con su pareja;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, auto;Si, auto;1;1;0;;Automóvil;Entre 1500 y 1999 cc;;;Gasolina corriente;;2008;Otro municipio del área metropolitana;Acompañante (pasajero o parrilero);Siempre;2;15;;;;;;Medellín;Comuna 16 - Belén;Medellín;Comuna 14 - El Poblado;;Tres;Entre 11 y 15 km;Ir a trabajar;;;;;;;Muy satisfecho;El tiempo de viaje;La distancia que debe recorrer;La vulnerabilidad frente accidentes de tránsito;Esfuerzo físico agotador;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Es el medio de transporte que utiliza;;Empresas manufactureras;Moderado;Bus, colectivo, busetas;;Bicicleta;;Otro;Tiempo;Nada influyente;Muy influyente;Si;Si;Si;No;Si;No;No;No sabe;;Mientras caminaba;En los paraderos o estaciones;;Llamó a alguien conocido (para contarle o desahogarse);Puso la queja (en la app, en algún buzón, en una línea telefónica o de Whatsapp etc);;Si;Mujer;No;62.339.626;-756.115.311;1.595.400.024;13.819
3;3.907.243.986;Presencial en hogares;Femenino;Si;68;65 - 80 años;No;Si;Si;Si;Caldas;Manizales;;;Ninguna de las anteriores;No;Básica primaria completa;No;Es pensionado(a);;;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;No;No;0;;1;0;Bus, colectivo, buseta;;;;;;;;;;;;40;10;30;10;;Medellín;Comuna 16 - Belén;Medellín;Comuna 7 - Robledo;;Dos;Entre 6 y 10 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;;;;;Satisfecho;La comodidad (confort);;El costo de compra;Esfuerzo físico agotador;Dificultad para encontrar parqueadero;;3;Nada Importante;2;3;Nada Importante;Nada Importante;Nada Importante;3;Muy importante;Bus, colectivo, busetas;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Moderado;Metro;;Caminata;;Costos altos;;Nada influyente;4;No;No;No;No;No;No;No;No sabe;;;;;;;;No;Hombre;No;62.345.351;-756.119.566;1.603.900.024;45.6
4;6.582.335.601.000.000;Presencial en hogares;Masculino;Si;51;45 - 54 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria completa;No;Trabajar;Empleado en empresa, gobierno u organización;De lunes a domingo;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;Si, motocicleta;2;1;2;1;Moto 2T;;Entre 150 cc y 250 cc;;Gasolina corriente;;2019;Otro municipio del área metropolitana;Conductor;Algunas veces;2;45;;;;;;Medellín;Comuna 16 - Belén;Sabaneta;Comuna 16 - Belén;;Uno;Entre 11 y 15 km;Ir a trabajar;;;;;;;Muy satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;La vulnerabilidad frente accidentes de tránsito;Congestión de tráfico;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;3;2;2;Moto 4T;;Tiempos de viaje o espera asociados;;Empresas manufactureras;Bajo;Bus, colectivo, busetas;;Caminata;;Falta de infraestructura (andenes, ciclorutas, etc.);;Muy influyente;Muy influyente;No;No;No;No;No;No;No;No sabe;;;;;;;;No;Hombre;No;62.349.242;-756.120.366;1602.5;45.6
5;6.582.335.601.000.000;Presencial en hogares;Masculino;Si;68;65 - 80 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Tecnológico;No;Es pensionado(a);;;;;;;;;;;;;;Sola(o);Estrato 2;Menos de 100 mil pesos;No;;Dificultad para ver, aún utilizando lentes;;No;No;0;;0;;Metroplus;;;;;;;;;;;;10;5;30;10;;Medellín;Comuna 16 - Belén;Medellín;Comuna 4 - Aranjuez;;Uno;Entre 16 y 20 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;;;;;Muy satisfecho;La comodidad (confort);El tiempo de viaje;Las condiciones de incomodidad;Ser víctima de robo o atraco;;;4;4;4;Muy importante;Muy importante;Nada Importante;4;2;4;Metroplús;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Moderado;Bus, colectivo, busetas;;Caminata;;Falta de infraestructura (andenes, ciclorutas, etc.);;Muy influyente;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;62.335.649;-756.117.931;1.595.400.024;79.2
6;4926.66;Presencial en hogares;Masculino;Si;30;25 - 34 años;No;Si;Si;Si;Antioquia;Envigado;;;Ninguna de las anteriores;No;Secundaria completa;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 3;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;No;No;0;;1;0;Metro;;;;;;;;;;;;15;3;30;1;;Medellín;Comuna 16 - Belén;Medellín;Comuna 3 - Manrique;;Uno;Entre 6 y 10 km;Ir a trabajar;;;;;;;Satisfecho;La distancia que debe recorrer;;La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo);Multitud de personas;;;Muy importante;3;Muy importante;4;3;2;Nada Importante;2;3;Moto 4T;;Costos asociados;;Empresas manufactureras;Nulo;Camión pesado;;Bicicleta;;Inseguridad;;Nada influyente;2;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;62.354.526;-75.611.932;1.608.099.976;26.4
7;5.013.326.201.142.850;Presencial en hogares;Femenino;Si;56;55 - 64 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria incompleta;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con otras personas que no son de su familia (amigos, compañeros);Estrato 3;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Metroplus;;;;;;;;;;;;10;10;15;10;;Medellín;Comuna 16 - Belén;Medellín;Comuna 16 - Belén;;Tres;Entre 6 y 10 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;;;;;Muy satisfecho;La comodidad (confort);;El nivel de emisiones (contaminación);Congestión de tráfico;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Costos asociados;;Los vehículos que circulan en la ciudad;Nulo;Bus, colectivo, busetas;;Caminata;;Inseguridad;;Muy influyente;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;62.338.493;-756.110.903;1.593.599.976;15.689
8;5.013.326.201.142.850;Presencial en hogares;Femenino;Si;67;65 - 80 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria completa;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 3;Menos de 100 mil pesos;No;;Ninguna dificultad;;No;No;0;;1;0;Metro;;;;;;;;;;;;12;5;25;10;;Medellín;Comuna 16 - Belén;Medellín;Comuna 16 - Belén;;Dos;Entre 6 y 10 km;A realizar compras;;;;;;;Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;Nada me disgusta;Dificultad para encontrar parqueadero;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Costos asociados;;Los vehículos que circulan en la ciudad;Moderado;Camión pesado;;Caminata;;Inseguridad;;Muy influyente;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;62.346.434;-756.109.153;1.600.699.951;13.364
9;4926.66;Presencial en hogares;Masculino;Si;44;35 - 44 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Universitario;Si;Estudiar;;;;;;;;;De lunes a viernes;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 3;Menos de 100 mil pesos;No;;Ninguna dificultad;;Sí, auto y motocicleta;Si de auto y motocicleta;1;0;1;0;Moto 4T;;Menos de 125 cc;;Gasolina corriente;;Modelos anteriores a 2005;Otro municipio por fuera del área metropolitana;Conductor;Nunca;;25;;;;;;Medellín;Comuna 16 - Belén;Medellín;Comuna 11 - Laureles Estadio;;Tres;Entre 11 y 15 km;Ir a estudiar;;;;;;;Muy satisfecho;La autonomía o control sobre el viaje;;Nada me disgusta;Congestión de tráfico;;;Muy importante;4;Muy importante;Muy importante;Nada Importante;Nada Importante;Nada Importante;2;Nada Importante;Moto 4T;;Es el medio de transporte que utiliza;;Empresas manufactureras;Bajo;Bus, colectivo, busetas;;Bicicleta;;Otro;Conciencia;Nada influyente;2;No;No;No;No;No;No;No;No;;;;;;;;Si;Hombre;No;6.234.665;-756.109.102;1.600.699.951;11.579
10;4926.66;Presencial en hogares;Masculino;Si;35;35 - 44 años;No;Si;Si;Si;Cesar;Codazzi;;;Ninguna de las anteriores;Si;Tecnológico;Si;Trabajar;Empleado(a) doméstico;De lunes a sábado;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 3;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, auto y motocicleta;Si de auto y motocicleta;0;;2;1;Moto 4T;;Entre 150 cc y 250 cc;;Gasolina corriente;;2024;Otro municipio del área metropolitana;Conductor;Algunas veces;1;15;;;;;;Medellín;Comuna 16 - Belén;Medellín;No sabe. ¿A dónde se dirige?;Centro;Dos;Más de 20 km;Ir a trabajar;;;;;;;Muy satisfecho;El tiempo de viaje;El costo (sus posibilidades económicas o capacidad adquisitiva);La exposición a condiciones climáticas desfavorables (lluvia o calor);Ser víctima de situaciones de acoso o violencia;;;Muy importante;4;3;Muy importante;2;3;4;2;Muy importante;Moto 4T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Bajo;Bus, colectivo, busetas;;Automóviles, taxis;;Falta de infraestructura (andenes, ciclorutas, etc.);;Muy influyente;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;62.339.302;-75.611.084;1.593.800.049;11.178
